iter	Passed	Remaining
406	6469	25321
407	6485	25306
408	6501	25289
409	6517	25276
410	6532	25256
411	6548	25238
412	6565	25227
413	6581	25211
414	6596	25192
415	6610	25169
416	6625	25150
417	6643	25142
418	6658	25122
419	6674	25107
420	6690	25094
421	6705	25074
422	6720	25053
423	6734	25032
424	6749	25013
425	6764	24993
426	6782	24984
427	6797	24967
428	6814	24956
429	6830	24940
430	6846	24923
431	6863	24912
432	6879	24898
433	6895	24879
434	6910	24861
435	6926	24844
436	6940	24825
437	6956	24809
438	6971	24788
439	6985	24767
440	7001	24751
441	7018	24739
442	7034	24722
443	7049	24706
444	7064	24686
445	7081	24673
446	7096	24655
447	7112	24638
448	7127	24620
449	7143	24604
450	7158	24585
451	7174	24570
452	7190	24553
453	7206	24538
454	7220	24517
455	7236	24501
456	7252	24488
457	7268	24470
458	7283	24452
459	7297	24429
460	7313	24416
461	7328	24397
462	7344	24382
463	7361	24369
464	7377	24353
465	7393	24337
466	7407	24315
467	7422	24298
468	7437	24279
469	7452	24261
470	7468	24244
471	7485	24231
472	7499	24211
473	7516	24199
474	7532	24182
475	7548	24166
476	7563	24149
477	7578	24130
478	7595	24117
479	7611	24102
480	7627	24086
481	7643	24072
482	7659	24055
483	7675	24041
484	7689	24020
485	7705	24004
486	7721	23987
487	7737	23972
488	7752	23954
489	7767	23937
490	7784	23923
491	7799	23906
492	7814	23887
493	7829	23869
494	7845	23854
495	7861	23839
496	7876	23821
497	7891	23801
498	7908	23789
499	7923	23771
500	7939	23756
501	7954	23735
502	7968	23716
503	7984	23700
504	8001	23688
505	8016	23668
506	8031	23650
507	8046	23634
508	8063	23619
509	8078	23601
510	8093	23582
511	8108	23564
512	8123	23546
513	8139	23532
514	8155	23517
515	8170	23498
516	8186	23482
517	8202	23467
518	8218	23451
519	8232	23431
520	8247	23413
521	8264	23399
522	8280	23383
523	8294	23364
524	8311	23350
525	8325	23331
526	8341	23314
527	8356	23296
528	8372	23280
529	8389	23267
530	8405	23252
531	8419	23232
532	8434	23214
533	8448	23195
534	8463	23176
535	8480	23161
536	8495	23145
537	8511	23129
538	8526	23111
539	8542	23096
540	8558	23079
541	8573	23063
542	8590	23049
543	8605	23032
544	8620	23014
545	8636	22998
546	8651	22980
547	8666	22964
548	8683	22949
549	8698	22932
550	8712	22912
551	8728	22897
552	8742	22876
553	8758	22860
554	8774	22844
555	8789	22828
556	8805	22811
557	8819	22791
558	8833	22771
559	8849	22756
560	8865	22740
561	8880	22722
562	8897	22709
563	8911	22689
564	8927	22673
565	8944	22661
566	8960	22645
567	8976	22629
568	8991	22612
569	9007	22596
570	9023	22583
571	9040	22568
572	9057	22557
573	9073	22541
574	9090	22527
575	9105	22511
576	9121	22495
577	9135	22476
578	9150	22458
579	9165	22440
580	9181	22424
581	9198	22411
582	9213	22393
583	9230	22379
584	9245	22362
585	9259	22343
586	9278	22334
587	9297	22325
588	9316	22317
589	9332	22304
590	9348	22287
591	9363	22270
592	9380	22257
593	9396	22240
594	9411	22223
595	9426	22206
596	9440	22186
597	9456	22170
598	9473	22156
599	9488	22140
600	9506	22128
601	9522	22112
602	9537	22096
603	9553	22079
604	9568	22062
605	9584	22046
606	9600	22031
607	9616	22017
608	9632	22000
609	9649	21987
610	9663	21968
611	9678	21949
612	9693	21933
613	9709	21917
614	9724	21900
615	9739	21882
616	9755	21867
617	9770	21849
618	9785	21831
619	9801	21815
620	9815	21796
621	9831	21780
622	9847	21765
623	9863	21749
624	9882	21741
625	9897	21724
626	9912	21706
627	9928	21691
628	9943	21673
629	9959	21657
630	9974	21639
631	9990	21625
632	10007	21612
633	10022	21595
634	10038	21578
635	10053	21561
636	10068	21543
637	10082	21523
638	10098	21508
639	10113	21490
640	10127	21472
641	10144	21457
642	10160	21442
643	10175	21426
644	10189	21406
645	10205	21390
646	10222	21376
647	10237	21359
648	10252	21343
649	10267	21324
650	10282	21306
651	10297	21289
652	10312	21273
653	10328	21257
654	10344	21240
655	10359	21224
656	10376	21210
657	10391	21193
658	10406	21176
659	10422	21160
660	10438	21145
661	10453	21129
662	10470	21114
663	10486	21098
664	10502	21082
665	10518	21068
666	10533	21051
667	10549	21035
668	10565	21021
669	10582	21006
670	10598	20991
671	10612	20973
672	10629	20957
673	10644	20940
674	10660	20925
675	10675	20909
676	10691	20892
677	10707	20878
678	10722	20860
679	10738	20845
680	10753	20828
681	10768	20810
682	10786	20798
683	10801	20781
684	10816	20764
685	10832	20749
686	10847	20732
687	10863	20717
688	10879	20701
689	10894	20684
690	10910	20667
691	10925	20651
692	10941	20634
693	10955	20616
694	10971	20600
695	10986	20583
696	11001	20566
697	11017	20551
698	11033	20535
699	11049	20520
700	11067	20508
701	11083	20493
702	11098	20477
703	11114	20461
704	11129	20443
705	11146	20430
706	11160	20411
707	11176	20395
708	11192	20380
709	11207	20363
710	11222	20346
711	11240	20333
712	11255	20316
